Method,H1,H2,H3
Euler,0.00184709989821297,0.0192010010714424,0.367879441171442
Heun,6.17754475007448e-06,0.000661543662109465,0.132120558828558
Backward Euler,0.00183177115767696,0.0176638482580898,0.132120558828558
